dendrometerID,tag,treeID,stemID,sp,dbh.2018.mm,crown.illum,habitat,quadrat,dendro.start.year,dendro.start.month,dendro.start.day,cored,last.checked,notes
92223085,22315,3338,3338,caco,553,3,borderline,225,2022,7,7,0,2024.03.12,accidentally downloaded twice / set new bookmark in spring 2024
92223074,60588,7567,7567,caco,305,3,lowland,615,2023,2,23,0,2024.02.06,
92223072,70579,8578,8578,caco,240,2,lowland,714,2022,7,1,0,2024.02.06,shrank between install and Feb. 2023
92224529,92393,11540,11540,cagl,616,4,upland,925,2023,2,23,0,2024.03.12,
92221985,91486,11152,11152,cagl,586,3,upland,908,2022,3,2,0,2024.02.06,"Dendro band readings were biannual only prior to 2022. Was just  59cm dbh in 2018 census, but fast growing/ probably past 60cm by time of dendrometer install"
92221982,30331,3967,3967,cagl,231,1,lowland,306,2022,3,2,0,2023.02.23,Biweekly record shows very pronounced winter shrinkage
92223078,80554,9630,9630,caovl,529,3,borderline,813,2023,2,23,1,2024.02.06,
92223077,192133,28553,28553,caovl,570,3,borderline,1923,2022,6,23,0,2024.02.06,
92223076,121301,16396,16396,caovl,252,2,upland,1211,2022,7,3,1,2024.02.06,
92223081,80180,9268,9268,cato,1009,4,upland,804,2022,7,1,0,2024.02.06,noted 2/26/24 that it looks dead
92231857,60266,7262,7262,cato,495,3,upland,604,2023,2,28,0,2024.02.06,
92223071,102148,13086,13086,cato,253,2,upland,1019,2022,6,23,0,2024.02.06,
92221986,30233,3874,3874,fagr,1072,3,lowland,306,2022,3,2,1,2023.02.23,"Largest FAGR in plot. Has biweekly record, but poor. Cored, but no center because of heartrot."
92224521,40563,5040,5040,fagr,406,3,lowland,406,2023,2,23,1,2023.02.23,"2nd-largest beech with biweekly dendro band, also cored"
92221981,30333,3969,3969,fagr,244,1,lowland,306,2022,3,2,1,2023.02.23,Smallest FAGR with biweekly dendrometer bands + core.
92231854,190568,28141,28141,juni,934,4,lowland,1912,2023,2,28,,2024.03.12,
92223084,60463,7448,7448,juni,491,3,lowland,615,2022,7,6,0,2024.02.06,90% crown intact. FAD = would level 1. growing strongly
92231852,22601,3617,3617,juni,137,2,lowland,231,2023,2,28,,2023.02.28,
92224526,32126,4355,4355,litu,1023,4,lowland,321,2023,2,23,0,2023.02.23,
92221984,190413,28001,28001,litu,1015,4,upland,1904,2022,3,2,0,2024.03.12,
92221988,50650,6521,6521,litu,191,2,lowland,514,2022,3,2,0,2024.02.06,
92223075,112250,14967,14967,pist,431,3,upland,1122,2022,6,23,0,2024.02.06,"Crown is barely in the canopy. I wanted to move this dendrometer to tree with tag 142521 (originally not selected because it has lianas in crown), but couldn't remove bolt from tree."
92224528,142521,20457,20457,pist,484,3,upland,1422,2023,2,23,1,2024.02.06,has lianas
92223073,112136,14862,14862,pist,293,2,upland,1120,2022,6,23,1,2024.02.06,
92224527,90752,10963,10963,qual,535,3,lowland,916,2023,2,23,1,2024.02.06,
92223086,192560,28965,28965,qual,950,3,upland,1930,2022,6,23,0,2024.02.06,3 stems joining well above dendrometer
92223080,102264,13201,13201,qual,464,2,upland,1022,2022,6,23,0,2024.02.06,
92223079,32381,4606,4606,qupr,872,3,upland,327,2022,7,1,1,2023.02.23,"80% crown intact, FAD = wound level 1"
92231853,70278,8293,8293,qupr,695,3,upland,704,2023,2,28,0,2024.02.06,
92223083,121275,16370,16370,qupr,263,1,upland,1209,2022,7,3,0,2024.02.06,
92231855,50562,6442,6442,quru,688,4,lowland,514,2023,2,28,,2024.02.06,
92221983,100771,12422,12422,quru,960,4,upland,1005,2022,3,2,1,2024.02.06,largest QURU with biweekly dendrometer bands + core 
92221987,60582,7561,7561,quru,293,1,lowland,615,2022,3,2,0,2024.02.06,
92223082,30584,4207,4207,quve,924,4,,316,2022,7,1,0,2024.02.06,
92224530,62114,7692,7692,quve,308,4,upland,619,2023,2,23,0,2023.02.23,
92231851,162024,23379,23379,quve,294,1,borderline,1618,2023,2,28,,2023.02.28,